english	category	sub_category	source
Members: Bronze cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Bronze javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Bronze keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Iron cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Iron javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Iron keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Chain <Num0> bar	interface	generalUI	skillGuide	
Members: Steel cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Steel javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Steel keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Mithril cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Mithril javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Mithril keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Adamant cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Adamant javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Adamant keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Rune cannonballs <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Rune javelin tips <Num0> bar makes <Num1>	interface	generalUI	skillGuide	
Members: Rune keel parts <Num0> bars	interface	generalUI	skillGuide	
Members: Aquanite hoppers	interface	generalUI	skillGuide	
Bronze armour	interface	generalUI	skillGuide	
Iron armour	interface	generalUI	skillGuide	
Steel armour	interface	generalUI	skillGuide	
Members: Spiny helmet	interface	generalUI	skillGuide	
Black armour	interface	generalUI	skillGuide	
Members: White armour	interface	generalUI	skillGuide	
Mithril armour	interface	generalUI	skillGuide	
Adamant armour	interface	generalUI	skillGuide	
Rune armour	interface	generalUI	skillGuide	
Members: Dragon armour	interface	generalUI	skillGuide	
Members: Dharok's armour	interface	generalUI	skillGuide	
Members: Guthan's armour	interface	generalUI	skillGuide	
Members: Torag's armour	interface	generalUI	skillGuide	
Members: Verac's armour	interface	generalUI	skillGuide	
Toktz-Ket-Xil	interface	generalUI	skillGuide	
Odium & Malediction wards	interface	generalUI	skillGuide	
Dragonfire shield	interface	generalUI	skillGuide	
Great Conch stepping stone	interface	generalUI	skillGuide	
Members: Lead <Num0> lead ore	interface	generalUI	skillGuide	
Members: Cupronickel <Num0> copper ore & <Num1> nickel ore	interface	generalUI	skillGuide	
Introduction - Members Only	interface	generalUI	skillGuide	
Relicym's balm Rogue s purse & snake weed	interface	generalUI	skillGuide	
Relicym's balm Rogue's purse & snake weed	interface	generalUI	skillGuide	
Anti-odour salt Unprocessed elkhorn coral & crab paste	interface	generalUI	skillGuide	
Hunter potion Avantoe & ground sabre-toothed kebbit teeth	interface	generalUI	skillGuide	
Haemostatic dressing Elkhorn coral, squid paste & cotton yarn	interface	generalUI	skillGuide	
Super fishing potion Pillar coral & haddock eye	interface	generalUI	skillGuide	
Sanfew serum Super restore potion, snake weed, ground unicorn horn & nail beast nails	interface	generalUI	skillGuide	
Extreme energy potion Super energy potion & yellow fin	interface	generalUI	skillGuide	
Super fishing potion Pillar coral & crab paste	interface	generalUI	skillGuide	
Extended stamina potion Stamina potion & marlin scales	interface	generalUI	skillGuide	
Armadyl brew Umbral coral & rainbow crab paste	interface	generalUI	skillGuide	
In the Chambers of Xeric, potions are mixed in water-filled gourd vials that may be found in the caverns.	interface	generalUI	skillGuide	
Potions will be strong (+), standard or weak (-), depending on your Herblore level.	interface	generalUI	skillGuide	
Elder (-) Golpar & Stinkhorn mushroom	interface	generalUI	skillGuide	
Herb Sack Tithe Farm or Slayer Masters	interface	generalUI	skillGuide	
Members: Infernal shale	interface	generalUI	skillGuide	
Super hunter potion Pillar coral & crab paste	interface	generalUI	skillGuide	
You must undergo barbarian Herblore training from Otto Godblessed before you can make these potions.	interface	generalUI	skillGuide	
Skillcape See Ajjat at the Warriors' Guild	interface	generalUI	skillGuide	
Skillcape See Surgeon General Tafani in the hospital at the Emir's Arena	interface	generalUI	skillGuide	
Regular damage from most sources.	interface	generalUI	skillGuide	
Regular damage variant shown when you deal your maximum damage. Most damage hitsplats have a highlighted max hit version.	interface	generalUI	skillGuide	
Miss/block - No damage dealt.	interface	generalUI	skillGuide	
Members: Boat damage - Shows damage to a boat.	interface	generalUI	skillGuide	
Members: Shield damage - Shows damage to a boss' shield or that a player was protected from an attack. Example: The Hueycoatl's tail shield.	interface	generalUI	skillGuide	
Members: Armour damage - Shows damage to a boss' armour. Example: Zalcano's armour.	interface	generalUI	skillGuide	
Members: Poise damage - Shows damage to a boss' poise, usually used to transition a boss to another phase. Example: The Wardens in the Tombs of Amascut.	interface	generalUI	skillGuide	
Members: Corrosion damage - Deals damage reduced by armour. May also apply a corrosion status effect, dealing damage in regular intervals. Example: Shellbane gryphon.	interface	generalUI	skillGuide	
Members: Poison - Hitpoint damage dealt in regular intervals, decreasing in potency over time. Can be cured with an anti-poison effect.	interface	generalUI	skillGuide	
Members: Venom - A more powerful form of Poison. Can be cured with mutliple anti-poison effects or a single anti-venom effect.	interface	generalUI	skillGuide	
Members: Bleed damage - Hitpoint damage dealt in regular intervals. Some types of bleed are more potent while moving. Can be cured with an anti-bleed effect. Example: Custodian Stalkers.	interface	generalUI	skillGuide	
Members: Burn damage - Hitpoint damage dealt in regular intervals. Stacks up to . Example: Burning Claws special attack.	interface	generalUI	skillGuide	
Members: Burn damage - Hitpoint damage dealt in regular intervals. Stacks up to <5>. Example: Burning Claws special attack.	interface	generalUI	skillGuide	
Members: Disease stat drain - Drains a stat in regular intervals. Can be reduced/ cured with a cure disease effect. Example: Zogres in Jiggig.	interface	generalUI	skillGuide	
Members: Disease stat drain - Drains a stat in regular intervals. Can be reduced/cured with a cure disease effect. Example: Zogres in Jiggig.	interface	generalUI	skillGuide	
Members: Disease damage - If the stat being drained by an active Disease reaches 1, you start taking Hitpoint damage instead. Can be reduced/cured with a cure disease effect.	interface	generalUI	skillGuide	
Members: Disease damage - If the stat being drained by an active Disease reaches <Num0>, you start taking Hitpoint damage instead. Can be reduced/cured with a cure disease effect.	interface	generalUI	skillGuide	
Members: Doom - Shows amount of Doom stacks. A certain amount instantly kills the player. Example: The Fortis Colosseum Doom modifier.	interface	generalUI	skillGuide	
Members: Healing from certain sources. Example: The Blood Moon in Neypotzli.	interface	generalUI	skillGuide	
Members: Prayer drain - Shows drain to a player's Prayer. Example: Frost Nagua in the Ruins of Tapoyauik.	interface	generalUI	skillGuide	
Members: Corruption - Drains Prayer points over time. Examples: Corruption spells and the Phantom Muspah encounter.	interface	generalUI	skillGuide	
Members: Cold - Drains warmth. Example: The cold in the Wintertodt encounter.	interface	generalUI	skillGuide	
Members: Charge - Shows something is being charged. Example: Totems in The Nightmare of Ashihama encounter.	interface	generalUI	skillGuide	
Members: Uncharge - Shows charge is being removed from something. Example: Totems in the Nightmare of Ashihama encounter.	interface	generalUI	skillGuide	
Members: Alternate charge - Shows something is being charged. Example: Kephri's shield restore in the Tombs of Amascut.	interface	generalUI	skillGuide	
Members: Alternate uncharge - Shows charge is being removed from something. Example: Crocodiles draining the Palm of Resourcefulness in the Tombs of Amascut.	interface	generalUI	skillGuide	
Members: Sanity drain - Shows sanity lost form certain sources. Example: Lost Souls in the Whisperer encounter.	interface	generalUI	skillGuide	
Members: Sanity Gain - Shows sanity gained form certain sources. Example: Corrupted Seeds in the Whisperer encounter.	interface	generalUI	skillGuide	
Members: Skillcape See Gadrin at the Mining Guild	interface	generalUI	skillGuide	
Skillcape See the custodian of the shot put room in the Warriors' Guild	interface	generalUI	skillGuide	
Skillcape See Cap'n Izzy No-Beard in the Brimhaven Agility Arena	interface	generalUI	skillGuide	
Members: Skillcape See Thurgo near Mudskipper Point	interface	generalUI	skillGuide	
Members: Skillcape See the Melee Combat Tutor in Lumbridge	interface	generalUI	skillGuide	
Kodai (-) Golpar & Endarkened juice	interface	generalUI	skillGuide	
Twisted (-) Golpar & Cicely	interface	generalUI	skillGuide	
Revitalisation (-) Buchu leaf & Stinkhorn mushroom	interface	generalUI	skillGuide	
Xeric's Aid (-) Buchu leaf & Endarkened juice	interface	generalUI	skillGuide	
Prayer enhance (-) Buchu leaf & Cicely	interface	generalUI	skillGuide	
Elder Golpar & Stinkhorn mushroom	interface	generalUI	skillGuide	
Kodai Golpar & Endarkened juice	interface	generalUI	skillGuide	
Twisted Golpar & Cicely	interface	generalUI	skillGuide	
Antipoison (-) Noxifer & Cicely	interface	generalUI	skillGuide	
Overload (-) Noxifer, Elder (-), Twisted (-) & Kodai (-)	interface	generalUI	skillGuide	
Revitalisation Buchu leaf & Stinkhorn mushroom	interface	generalUI	skillGuide	
Xeric's Aid Buchu leaf & Endarkened juice	interface	generalUI	skillGuide	
Prayer enhance Buchu leaf & Cicely	interface	generalUI	skillGuide	
Elder (+) Golpar & Stinkhorn mushroom	interface	generalUI	skillGuide	
Kodai (+) Golpar & Endarkened juice	interface	generalUI	skillGuide	
Twisted (+) Golpar & Cicely	interface	generalUI	skillGuide	
Overload Noxifer, Elder, Twisted & Kodai	interface	generalUI	skillGuide	
Revitalisation (+)Buchu leaf & Stinkhorn mushroom	interface	generalUI	skillGuide	
Xeric's Aid (+) Buchu leaf & Endarkened juice	interface	generalUI	skillGuide	
Prayer enhance (+) Buchu leaf & Cicely	interface	generalUI	skillGuide	
Antipoison (+) Noxifer & Cicely	interface	generalUI	skillGuide	
Overload (+) Noxifer, Elder (+), Twisted (+) & Kodai (+)	interface	generalUI	skillGuide	
Mammoth-might mix Mastering Mixology	interface	generalUI	skillGuide	
Alco-augmentator Mastering Mixology	interface	generalUI	skillGuide	
Liplack liquor Mastering Mixology	interface	generalUI	skillGuide	
Mystic mana amalgam Mastering Mixology	interface	generalUI	skillGuide	
Marley's moonlight Mastering Mixology	interface	generalUI	skillGuide	
Azure aura mix Mastering Mixology	interface	generalUI	skillGuide	
Aqualux amalgam Mastering Mixology	interface	generalUI	skillGuide	
Megalite liquid Mastering Mixology	interface	generalUI	skillGuide	
Anti-leech lotion Mastering Mixology	interface	generalUI	skillGuide	
Mixalot Mastering Mixology	interface	generalUI	skillGuide	
Secondary Pouch Mastering Mixology	interface	generalUI	skillGuide	
Skillcape See Kaqemeex in Taverley	interface	generalUI	skillGuide	
Shrimp Small fishing net	interface	generalUI	skillGuide	
Members: Karambwanji Small fishing net	interface	generalUI	skillGuide	
Anchovies Small fishing net	interface	generalUI	skillGuide	
Members: Giant frogspawn Small fishing net	interface	generalUI	skillGuide	
Members: Monkfish Small fishing net	interface	generalUI	skillGuide	
Mackerel Big fishing net	interface	generalUI	skillGuide	
Oyster Big fishing net	interface	generalUI	skillGuide	
Casket Big fishing net	interface	generalUI	skillGuide	
Bream Big fishing net	interface	generalUI	skillGuide	
Cod Big fishing net	interface	generalUI	skillGuide	
Bass Big fishing net	interface	generalUI	skillGuide	
Big net - Members Only	interface	generalUI	skillGuide	
Sardine Fishing rod & fishing bait	interface	generalUI	skillGuide	
Herring Fishing rod & fishing bait	interface	generalUI	skillGuide	
Trout Fly fishing rod & feathers	interface	generalUI	skillGuide	
Pike Fishing rod & fishing bait	interface	generalUI	skillGuide	
Members: Slimy eel Fishing rod & fishing bait	interface	generalUI	skillGuide	
Salmon Fly fishing rod & feathers	interface	generalUI	skillGuide	
Members: Rainbow fish Fly fishing rod & stripy feathers	interface	generalUI	skillGuide	
Members: Cave eel Fishing rod & fishing bait	interface	generalUI	skillGuide	
Members: Lava eel Oily fishing rod & fishing bait	interface	generalUI	skillGuide	
Members: Shimmering shoal Fishing rod & fish offcuts	interface	generalUI	skillGuide	
Members: Giant krill shoal Fishing rod & fish offcuts	interface	generalUI	skillGuide	
Members: Haddock shoal Fishing rod & fish offcuts	interface	generalUI	skillGuide	
Members: Glistening shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Members: Yellowfin shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Members: Infernal eel Oily fishing rod & fishing bait	interface	generalUI	skillGuide	
Members: Anglerfish Fishing rod & sandworms	interface	generalUI	skillGuide	
Members: Halibut shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Members: Vibrant shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Members: Bluefin shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Members: Sacred eel Fishing rod & fishing bait	interface	generalUI	skillGuide	
Members: Marlin shoal Fishing rod & fine fish offcuts	interface	generalUI	skillGuide	
Tuna Harpoon	interface	generalUI	skillGuide	
Swordfish Harpoon	interface	generalUI	skillGuide	
Members: Swordtip squid Harpoon & lantern	interface	generalUI	skillGuide	
Members: Jumbo squid Harpoon & lantern	interface	generalUI	skillGuide	
Members: Shark Harpoon	interface	generalUI	skillGuide	
Lobster Lobster pot	interface	generalUI	skillGuide	
Members: Dark crab Lobster pot & dark fishing bait	interface	generalUI	skillGuide	
Deep Sea Trawling - Members Only	interface	generalUI	skillGuide	
Deep Sea Trawling is a Fishing method that takes place out at sea. Because of this, you need to be an experienced sailor with your own boat. For more information, you should speak to Netmaster Kellan in the Rolling Tide pub in Port Roberts.	interface	generalUI	skillGuide	
Shimmering shoal Shallow trawling with fish offcuts	interface	generalUI	skillGuide	
Giant krill shoal Shallow trawling with fish offcuts	interface	generalUI	skillGuide	
Haddock shoal Shallow trawling with fish offcuts	interface	generalUI	skillGuide	
Glistening shoal Shallow & moderate trawling with fine fish offcuts	interface	generalUI	skillGuide	
Yellowfin shoal Shallow & moderate trawling with fish offcuts	interface	generalUI	skillGuide	
Halibut shoal Shallow & moderate trawling with fine fish offcuts	interface	generalUI	skillGuide	
Vibrant shoal Shallow, moderate & deep trawling with fine fish offcuts	interface	generalUI	skillGuide	
Bluefin shoal Shallow, moderate & deep trawling with fine fish offcuts	interface	generalUI	skillGuide	
Members: Skillcape See the Master Fisher in the Fishing Guild	interface	generalUI	skillGuide	
Fighting Tempoross	interface	generalUI	skillGuide	
Karambwan Karambwan vessel	interface	generalUI	skillGuide	
Sea turtle Trawler & Tempoross	interface	generalUI	skillGuide	
Manta ray Trawler & Tempoross	interface	generalUI	skillGuide	
Adamant items	interface	generalUI	skillGuide	
Camphor blowpipe	interface	generalUI	skillGuide	
Ironwood blowpipe	interface	generalUI	skillGuide	
Rosewood blowpipe	interface	generalUI	skillGuide	
Members: Adamant crossbow Ammo: Bolts up to adamant	interface	generalUI	skillGuide	
Members: Karils crossbow Ammo: Blot racks	interface	generalUI	skillGuide	
Members: Skillcape See the Armour Salesman in the Ranging Guild	interface	generalUI	skillGuide	
Aquanite hoppers	interface	generalUI	skillGuide	
Enter the Armadyl area of the God Wars Dungeon	interface	generalUI	skillGuide	
Deep Sea Trawling	interface	generalUI	skillGuide	
Marlin shoal Shallow, moderate & deep trawling with fine fish offcuts	interface	generalUI	skillGuide	
Boat cannons	interface	generalUI	skillGuide	
Boat cannons - Members Only	interface	generalUI	skillGuide	
Villager	interface	generalUI	skillGuide	
Pirate	interface	generalUI	skillGuide	
Gem stall	interface	generalUI	skillGuide	
Cannonball stall	interface	generalUI	skillGuide	
Chests in Ardougne, Rellekka and the wilderness	interface	generalUI	skillGuide	
Chests upstairs in Ardougne and Rellekka	interface	generalUI	skillGuide	
Chest at the Isle of Souls	interface	generalUI	skillGuide	
Rusty Pirate Chests	interface	generalUI	skillGuide	
Chests in Aldarin Villas	interface	generalUI	skillGuide	
Chest upstairs in Ardougne	interface	generalUI	skillGuide	
Chests in Hemenster and Rellekka	interface	generalUI	skillGuide	
Dorgesh-Kaan average chests	interface	generalUI	skillGuide	
Tarnished Pirate Chests	interface	generalUI	skillGuide	
Chest in the Chaos Druid Tower north of Ardougne	interface	generalUI	skillGuide	
Lizardman Temple chest beneath Molch	interface	generalUI	skillGuide	
Ardougne Castle chest	interface	generalUI	skillGuide	
Reinforced Pirate Chests	interface	generalUI	skillGuide	
Dorgesh-Kaan rich chests	interface	generalUI	skillGuide	
Wilderness Rogues' Castle chest	interface	generalUI	skillGuide	
Can crack the wall safes in the Rogues' Den	interface	generalUI	skillGuide	
Skillcape See Martin Thwait at the Rogues' Den	interface	generalUI	skillGuide	
Members: Sinew - made by drying beef or bear meat on a range	interface	generalUI	skillGuide	
T-bone Steak	interface	generalUI	skillGuide	
Members: Red crab	interface	generalUI	skillGuide	
Members: Blue crab	interface	generalUI	skillGuide	
Members: Swordtip squid	interface	generalUI	skillGuide	
Members: Giant krill	interface	generalUI	skillGuide	
Members: Jumbo squid	interface	generalUI	skillGuide	
Members: Haddock	interface	generalUI	skillGuide	
Members: Rainbow crab	interface	generalUI	skillGuide	
Members: Yellowfin	interface	generalUI	skillGuide	
Members: Halibut	interface	generalUI	skillGuide	
Members: Bluefin	interface	generalUI	skillGuide	
Members: Marlin	interface	generalUI	skillGuide	
Making bread:	interface	generalUI	skillGuide	
Pick some grain and take it to a windmill to make flour.	interface	generalUI	skillGuide	
Use a pot to collect the flour you have made.	interface	generalUI	skillGuide	
Fill a bucket or jug with water from a sink or fountain.	interface	generalUI	skillGuide	
Mix the flour and water to make some bread dough.	interface	generalUI	skillGuide	
Cook the dough by using it on a range.	interface	generalUI	skillGuide	
Making a pie:	interface	generalUI	skillGuide	
Mix flour and water to make pastry dough.	interface	generalUI	skillGuide	
Place the dough in an empty pie dish.	interface	generalUI	skillGuide	
Use your choice of filling on the empty pie.	interface	generalUI	skillGuide	
Cook the pie by using it on a range.	interface	generalUI	skillGuide	
Members: A Pie Recipe Book lists various recipes you may like to try.	interface	generalUI	skillGuide	
Making a pizza:	interface	generalUI	skillGuide	
Mix flour and water to make a pizza base.	interface	generalUI	skillGuide	
Add a tomato to the pizza.	interface	generalUI	skillGuide	
Add some cheese to the pizza.	interface	generalUI	skillGuide	
Cook the pizza by using it on a range.	interface	generalUI	skillGuide	
Add your choice of topping to the pizza.	interface	generalUI	skillGuide	
Making a cake:	interface	generalUI	skillGuide	
Mix flour, eggs and milk together in a cake tin.	interface	generalUI	skillGuide	
Cook the cake by using it on a range.	interface	generalUI	skillGuide	
Optionally, buy some chocolate and add it to the cake to make a chocolate cake.	interface	generalUI	skillGuide	
Making wine:	interface	generalUI	skillGuide	
Fill a jug with water.	interface	generalUI	skillGuide	
Use grapes with the jug of water.	interface	generalUI	skillGuide	
Wait until the wine ferments. Wine will ferment when left in your inventory or the bank for a while.	interface	generalUI	skillGuide	
Making hot drinks:	interface	generalUI	skillGuide	
Fill a bowl with water.	interface	generalUI	skillGuide	
Add the flavouring to the bowl of water.	interface	generalUI	skillGuide	
Boil the water on a range or a fire.	interface	generalUI	skillGuide	
Pour the bowl of tea into a cup for convenience.	interface	generalUI	skillGuide	
If desired, add milk from a bucket.	interface	generalUI	skillGuide	
Spicy sauce (topping ingredient) Garlic + gnome spice	interface	generalUI	skillGuide	
Chilli con carne (topping) Meat & spicy sauce	interface	generalUI	skillGuide	
Fried mushroom and onion (topping) Fried bittercap mushroom & fried onion	interface	generalUI	skillGuide	
Tuna and sweetcorn (topping) Tuna & cooked sweetcorn	interface	generalUI	skillGuide	
Making baked potatoes with toppings:	interface	generalUI	skillGuide	
Bake the potato on a range.	interface	generalUI	skillGuide	
Add some butter.	interface	generalUI	skillGuide	
If needed, combine topping ingredients by chopping them into a bowl with a knife.	interface	generalUI	skillGuide	
Damiana tea	interface	generalUI	skillGuide	
Making stew:	interface	generalUI	skillGuide	
Obtain a bowl and fill it with water from a sink or fountain.	interface	generalUI	skillGuide	
Place a potato in the bowl.	interface	generalUI	skillGuide	
Cook some meat and place it in the bowl.	interface	generalUI	skillGuide	
Cook the stew by using it on a range or fire.	interface	generalUI	skillGuide	
Members: Coloured spices may be obtained from Evil Dave's basement and added to cooked stew, giving it additional benefits. Requires: <colNum0>Recipe for Disaster - Evil Dave</col>	interface	generalUI	skillGuide	
Members: To make curry rather than stew, add a pot of spice or <Num0> curry leaves to the uncooked stew before cooking it.	interface	generalUI	skillGuide	
Making dairy products:	interface	generalUI	skillGuide	
Get a bucket of milk, a pot of cream or a pot of butter.	interface	generalUI	skillGuide	
Use the milk, cream or butter in a churn.	interface	generalUI	skillGuide	
Milk can be churned into cream, then into butter, then into cheese.	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Guanic bat	interface	generalUI	skillGuide	
Ritual Offering - Guppy	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Suphi fish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Prael bat	interface	generalUI	skillGuide	
Ritual Offering - Cavefish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Giral bat	interface	generalUI	skillGuide	
Ritual Offering - Tetra	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Brawk fish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Phluxia bat	interface	generalUI	skillGuide	
Members: Ritual Offering - Catfish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Mycil fish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Krykey bat	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Roqed fish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Murng bat	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Kyren fish	interface	generalUI	skillGuide	
Members: Chambers of Xeric - Psykk bat	interface	generalUI	skillGuide	
